company,date,detailUrl,jobTitle,job_listing_no,location,page
"Global Resource Management, Inc.",2017-03-29,http://www.dice.com/job/result/grmi/6726327?src=19,SAP ABAP,20201,"Redmond, WA",405
UnitedHealth Group,2017-04-23,http://www.dice.com/job/result/appblok/2418_713220?src=19,"Revenue Cycle Consultant, Project Manager - Telecommute",20202,"Eden Prairie, MN",405
"First Tek, Inc.",2017-04-11,http://www.dice.com/job/result/10118015/953933?src=19,Network Engineer,20203,"Tempe, AZ",405
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/01500-0009207795?src=19,Project Manager/Sr. Consultant,20204,"Omaha, NE",405
"Enterprise Software Solutions, Inc",2017-04-13,http://www.dice.com/job/result/essol/Walkin?src=19,"Walk-In Drive----Belleuve,WA",20205,"redmond, WA",405
Valiant Solutions LLC,2017-04-21,http://www.dice.com/job/result/10119134/CRH_2683?src=19,Senior Cyber Security Engineer,20206,"Washington, DC",405
Modis,2017-04-23,http://www.dice.com/job/result/10103170/US_EN_6_21701_56345119?src=19,"Operations Assembler Job in Moncks Corner, SC",20207,"Moncks Corner, SC",405
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/04380-9500492363?src=19,Full-Stack .NET Dev 100% REMOTE $100-115K,20208,"Lewisville, TX",405
Outreach Services,2017-04-23,http://www.dice.com/job/result/90989762/472903?src=19,Backend Software Engineer,20209,"Seattle, WA",405
"iTech Solutions, Inc",2017-04-17,http://www.dice.com/job/result/10111560/17-00863?src=19,BizTalk Architect and Administrator,20210,"Hartford, CT",405
Goahead Solutions,2017-04-20,http://www.dice.com/job/result/goaca001/GO2561?src=19,Power BI Developer,20211,"Irvine, CA",405
"Configuration Management, Inc.",2017-04-21,http://www.dice.com/job/result/CMINJ/968818?src=19,Senior DevOps Engineer,20212,"Englewood Cliffs, NJ",405
Platinum Enterprise Solutions,2017-04-23,http://www.dice.com/job/result/90655605/847?src=19,Senior Software Engineer,20213,"Irvine, CA",405
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/03220-9500218338?src=19,C#/ASP.NET Developer for Custom Web Solutions Shop!,20214,"Raleigh, NC",405
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/LD3-1310820240?src=19,Application Engineer -Powertrain test cell experience,20215,"Ann Arbor, MI",405
Next Step Systems,2017-04-23,http://www.dice.com/job/result/NEXIL001/744578?src=19,Associate Software Developer - R,20216,"Great Neck, NY",405
Knowledge Momentum,2017-04-21,http://www.dice.com/job/result/10358564/968970?src=19,Middleware Analyst / QA / Tester (10 Years),20217,"Berwyn, PA",405
"Paramount Software Solutions, Inc",2017-04-17,http://www.dice.com/job/result/10452799/653218?src=19,Java Developer with JSF 2.1,20218,"Atlanta, GA",405
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/21503?src=19,"Sr Analyst, Info Security",20219,"Ft Sam Houston, TX",405
Bass Pro Shops,2017-04-13,http://www.dice.com/job/result/RTX15dba1/WRMG?src=19,Sr. Programmer Analyst (WRMG),20220,"Springfield, MO",405
"iSpace, Inc",2017-04-21,http://www.dice.com/job/result/10106153/F10489?src=19,MetaData Administrator,20221,"Los Angeles, CA",405
The Judge Group,2017-04-23,http://www.dice.com/job/result/cxjudgpa/515863?src=19,"Functional Analyst, Endur/Safari",20222,"Williamstown, NJ",405
"Medical Science & Computing, Inc.",2017-04-04,http://www.dice.com/job/result/10412693P/828791?src=19,Senior Linux Systems Administrator,20223,"Bethesda, MD",405
kCura Corporation,2017-04-23,http://www.dice.com/job/result/10286858/2610?src=19,Sr Software Engineer (Work From Home Flexibility),20224,"Reston, VA",405
Edward Don & Company,2017-04-03,http://www.dice.com/job/result/RTX1bf4b6/4941489?src=19,IT Infrastructure Technician,20225,"Woodridge, IL",405
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/PB3-135693744?src=19,Software Engineer - Top Secret Required - Java/J2EE,20226,"McLean, VA",405
Netrocon Inc,2017-04-21,http://www.dice.com/job/result/10216365/DOT0218?src=19,Senior Dot Net Developer,20227,"New York City, NY",405
Epsilon,2017-04-23,http://www.dice.com/job/result/appblok/3111_0084988?src=19,Senior Automation AWS Engineer,20228,"Woburn, MA",405
"Open Systems, Inc.",2017-04-18,http://www.dice.com/job/result/opsysga/KXA-04172-94?src=19,Full Stack JavaScript Developer,20229,"Atlanta, GA",405
Louisiana Economic Development,2017-04-18,http://www.dice.com/job/result/90833617/CGI389728?src=19,Cloud Migration Project Manager,20230,"Lafayette, LA",405
IPsoft,2017-04-07,http://www.dice.com/job/result/10120760/903136?src=19,UI/Visual Designer,20231,"New York, NY",405
Hire Velocity,2017-04-06,http://www.dice.com/job/result/10114838/948007?src=19,Senior Solutions Architect,20232,"Alpharetta, GA",405
"Endure Technology Solutions, Inc.",2017-04-21,http://www.dice.com/job/result/10427070/MD20?src=19,"IT Systems Engineer - San Ramon, CA",20233,"San Ramon, CA",405
Compri Consulting,2017-04-21,http://www.dice.com/job/result/compri/11932CT?src=19,Business/Project Analysis,20234,"Denver, CO",405
RecruitIQ Staffing,2017-04-23,http://www.dice.com/job/result/appblok/3422_cfdc30c22ce93cdcdd0440fe062f4cab?src=19,"Sr. Lawson GHR Analyst (Phoenix, AZ)",20235,"Las Vegas, NV",405
Contech Systems Online,2017-04-12,http://www.dice.com/job/result/10107170/955121?src=19,SDET/Java/Automation,20236,"Basking Ridge, NJ",405
"Intelligent Capital Network, Inc.",2017-04-13,http://www.dice.com/job/result/humancap/5133?src=19,Cloud Engineer,20237,"Vienna, VA",405
Spectrum,2017-04-23,http://www.dice.com/job/result/appblok/3352_187787BR?src=19,Business Analyst-Ops,20238,"Greenwood Village, CO",405
Workday Integrations,2017-04-21,http://www.dice.com/job/result/90932362/968763?src=19,IT Production Support,20239,"Alpharetta, GA",405
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/23664?src=19,"Sr Analyst, Info Security",20240,"Schofield, HI",405
Modis,2017-04-23,http://www.dice.com/job/result/10103170/US_EN_6_21701_56456115?src=19,"Project Coordinator Job in Research Triangle Park, NC",20241,"Durham, NC",405
Spectrum,2017-04-23,http://www.dice.com/job/result/appblok/3352_193460BR?src=19,Principal Engineer I - Network Virtualization Architecture,20242,"Englewood, CO",405
Infogroup Northwest,2017-04-23,http://www.dice.com/job/result/infogrup/17198?src=19,Transition Manager,20243,"Beaverton, OR",405
PCB Apps,2017-04-13,http://www.dice.com/job/result/10125979/958258?src=19,Oracle Ebuisness Finance with Vertex - Immdt interviews,20244,"Bloomington, MN",405
"iTech Solutions, Inc",2017-04-20,http://www.dice.com/job/result/10111560/17-00728?src=19,Clinical Analytics Tool Development Analyst,20245,"Chicago, IL",405
"ELEVI  Associates, LLC",2017-04-21,http://www.dice.com/job/result/10114482/470551?src=19,Applications Specialist,20246,"Annapolis Junction, MD",405
The Davis Companies,2017-04-23,http://www.dice.com/job/result/10116144/Davis_228122-126?src=19,Full Stack Web Developer,20247,"Boston, MA",405
Hackett Group,2017-04-12,http://www.dice.com/job/result/10112501/570984?src=19,SAP Consultants,20248,"Philadelphia, PA",405
Emergys Corp.,2017-03-31,http://www.dice.com/job/result/emergys/701634?src=19,SAP Pre-Sales Executive,20249,"Durham, NC",405
ICONMA,2017-04-06,http://www.dice.com/job/result/iconma/JavaBigDataVA0?src=19,Java/BigData Tech lead,20250,"Richmond, VA",405
